iter	Passed	Remaining
0	60	36327
1	109	32629
2	162	32382
3	210	31375
4	262	31240
5	313	31008
6	366	31063
7	418	30939
8	471	30938
9	523	30908
10	575	30821
11	625	30643
12	679	30700
13	729	30555
14	778	30353
15	825	30120
16	874	30006
17	921	29803
18	973	29771
19	1022	29651
20	1070	29506
21	1119	29404
22	1168	29311
23	1218	29233
24	1266	29135
25	1314	29025
26	1364	28949
27	1417	28956
28	1468	28922
29	1517	28837
30	1567	28768
31	1616	28700
32	1663	28586
33	1714	28533
34	1762	28446
35	1809	28354
36	1860	28313
37	1907	28217
38	1956	28136
39	2007	28098
40	2056	28043
41	2105	27976
42	2155	27918
43	2204	27863
44	2252	27786
45	2302	27731
46	2352	27677
47	2406	27674
48	2458	27641
49	2506	27574
50	2556	27524
51	2605	27461
52	2653	27381
53	2700	27303
54	2750	27257
55	2798	27180
56	2851	27160
57	2900	27104
58	2950	27053
59	2998	26983
60	3048	26939
61	3101	26909
62	3149	26849
63	3199	26796
64	3247	26725
65	3294	26653
66	3346	26619
67	3393	26550
68	3440	26474
69	3488	26415
70	3536	26346
71	3586	26300
72	3635	26248
73	3684	26187
74	3731	26120
75	3780	26063
76	3828	26004
77	3877	25946
78	3927	25900
79	3975	25838
80	4022	25775
81	4073	25734
82	4121	25673
83	4169	25611
84	4220	25571
85	4270	25521
86	4325	25508
87	4397	25584
88	4450	25553
89	4497	25485
90	4547	25437
91	4595	25373
92	4643	25313
93	4694	25269
94	4744	25218
95	4794	25168
96	4845	25127
97	4894	25069
98	4941	25005
99	4991	24959
100	5043	24918
101	5092	24864
102	5144	24823
103	5192	24764
104	5242	24713
105	5290	24656
106	5339	24600
107	5390	24555
108	5440	24507
109	5488	24450
110	5539	24402
111	5589	24356
112	5638	24301
113	5689	24255
114	5739	24205
115	5789	24154
116	5838	24102
117	5886	24044
118	5933	23982
119	5978	23915
120	6026	23857
121	6073	23795
122	6120	23734
123	6168	23679
124	6216	23623
125	6264	23567
126	6313	23514
127	6366	23478
128	6415	23423
129	6463	23367
130	6512	23315
131	6562	23266
132	6612	23219
133	6662	23169
134	6710	23115
135	6761	23068
136	6809	23013
137	6857	22957
138	6904	22900
139	6952	22843
140	6998	22782
141	7048	22733
142	7099	22687
143	7146	22630
144	7199	22590
145	7251	22550
146	7298	22490
147	7347	22439
148	7395	22384
149	7445	22335
150	7495	22288
151	7545	22239
152	7596	22194
153	7645	22140
154	7694	22089
155	7740	22030
156	7787	21973
157	7835	21919
158	7881	21859
159	7929	21804
160	7974	21745
161	8024	21694
162	8073	21644
163	8118	21584
164	8167	21532
165	8218	21486
166	8267	21436
167	8313	21377
168	8362	21326
169	8409	21270
170	8458	21220
171	8508	21172
172	8556	21118
173	8602	21062
174	8654	21017
175	8702	20965
176	8750	20911
177	8800	20863
178	8848	20810
179	8893	20752
180	8943	20702
181	8989	20646
182	9036	20591
183	9084	20538
184	9131	20484
185	9180	20433
186	9229	20383
187	9277	20332
188	9324	20277
189	9373	20226
190	9422	20177
191	9472	20129
192	9523	20083
193	9571	20030
194	9623	19987
195	9672	19938
196	9718	19881
197	9766	19828
198	9816	19780
199	9861	19723
200	9909	19671
201	9957	19619
202	10004	19565
203	10053	19514
204	10102	19465
205	10150	19413
206	10198	19362
207	10249	19315
208	10298	19267
209	10345	19212
210	10393	19161
211	10441	19109
212	10490	19060
213	10544	19019
214	10596	18975
215	10644	18923
216	10693	18872
217	10739	18818
218	10784	18762
219	10832	18710
220	10881	18661
221	10930	18611
222	10980	18563
223	11031	18517
224	11078	18464
225	11127	18413
226	11176	18364
227	11220	18306
228	11268	18256
229	11316	18205
230	11361	18149
231	11410	18099
232	11460	18051
233	11509	18002
234	11559	17954
235	11607	17902
236	11656	17852
237	11702	17799
238	11754	17754
239	11801	17702
240	11849	17651
241	11897	17601
242	11949	17555
243	12000	17508
244	12046	17454
245	12096	17407
246	12144	17356
247	12198	17314
248	12245	17262
249	12294	17212
250	12340	17159
251	12387	17107
252	12437	17058
253	12484	17006
254	12535	16959
255	12587	16915
256	12640	16869
257	12690	16822
258	12743	16777
259	12793	16729
260	12843	16681
261	12896	16637
262	12948	16591
263	12999	16544
264	13051	16498
265	13101	16450
266	13153	16404
267	13207	16361
268	13261	16318
269	13313	16271
270	13364	16225
271	13413	16175
272	13465	16128
273	13517	16083
274	13571	16039
275	13622	15991
276	13673	15944
277	13725	15898
278	13776	15850
279	13829	15805
280	13880	15757
281	13932	15711
282	13983	15663
283	14033	15615
284	14084	15566
285	14135	15519
286	14187	15472
287	14239	15425
288	14292	15380
289	14341	15330
290	14392	15282
291	14462	15254
292	14513	15206
293	14567	15161
294	14618	15114
295	14676	15072
296	14732	15030
297	14785	14983
298	14833	14932
299	14879	14879
300	14927	14828
301	14973	14775
302	15023	14725
303	15071	14675
304	15121	14625
305	15168	14573
306	15215	14521
307	15264	14471
308	15316	14424
309	15363	14371
310	15409	14319
311	15455	14266
312	15502	14214
313	15551	14165
314	15599	14113
315	15647	14062
316	15696	14012
317	15741	13959
318	15791	13910
319	15838	13858
320	15885	13807
321	15932	13755
322	15980	13704
323	16029	13654
324	16076	13603
325	16124	13552
326	16172	13502
327	16221	13451
328	16271	13402
329	16318	13351
330	16366	13300
331	16416	13252
332	16460	13197
333	16508	13147
334	16557	13097
335	16606	13047
336	16653	12996
337	16700	12945
338	16750	12896
339	16797	12845
340	16844	12793
341	16892	12743
342	16941	12693
343	16987	12641
344	17034	12590
345	17085	12542
346	17133	12492
347	17181	12441
348	17228	12390
349	17276	12340
350	17323	12289
351	17370	12238
352	17419	12188
353	17465	12137
354	17513	12086
355	17565	12039
356	17611	11987
357	17657	11936
358	17705	11885
359	17751	11834
360	17808	11790
361	17857	11740
362	17905	11690
363	17954	11640
364	18003	11591
365	18049	11540
366	18100	11491
367	18146	11440
368	18192	11388
369	18242	11339
370	18290	11289
371	18337	11238
372	18386	11189
373	18434	11139
374	18479	11087
375	18530	11039
376	18573	10986
377	18621	10936
378	18670	10886
379	18716	10835
380	18762	10784
381	18812	10735
382	18857	10684
383	18904	10633
384	18949	10582
385	18994	10530
386	19040	10479
387	19091	10431
388	19139	10381
389	19186	10331
390	19234	10281
391	19282	10231
392	19327	10179
393	19377	10131
394	19425	10081
395	19470	10030
396	19518	9980
397	19566	9930
398	19613	9880
399	19664	9832
400	19710	9781
401	19755	9730
402	19804	9680
403	19850	9630
404	19897	9580
405	19948	9531
406	19993	9480
407	20039	9430
408	20087	9380
409	20134	9330
410	20180	9280
411	20228	9230
412	20275	9180
413	20322	9130
414	20371	9081
415	20420	9032
416	20469	8983
417	20517	8933
418	20567	8884
419	20615	8835
420	20663	8785
421	20711	8736
422	20759	8686
423	20809	8637
424	20857	8588
425	20904	8538
426	20953	8489
427	21000	8439
428	21045	8388
429	21094	8339
430	21143	8290
431	21190	8240
432	21238	8191
433	21283	8140
434	21332	8091
435	21379	8041
436	21426	7992
437	21475	7943
438	21527	7895
439	21572	7844
440	21621	7795
441	21670	7746
442	21718	7697
443	21766	7647
444	21815	7598
445	21863	7549
446	21910	7499
447	21956	7449
448	22003	7399
449	22051	7350
450	22100	7301
451	22148	7252
452	22197	7203
453	22246	7154
454	22293	7104
455	22340	7054
456	22389	7005
457	22436	6956
458	22484	6907
459	22532	6857
460	22579	6808
461	22627	6759
462	22676	6709
463	22723	6660
464	22771	6611
465	22820	6562
466	22866	6512
467	22912	6462
468	22960	6413
469	23008	6364
470	23056	6314
471	23105	6265
472	23150	6215
473	23196	6166
474	23245	6117
475	23294	6068
476	23342	6019
477	23390	5969
478	23435	5919
479	23485	5871
480	23533	5822
481	23580	5772
482	23627	5723
483	23676	5674
484	23725	5625
485	23774	5576
486	23824	5528
487	23870	5478
488	23918	5429
489	23965	5380
490	24013	5330
491	24060	5281
492	24109	5232
493	24156	5183
494	24202	5133
495	24249	5084
496	24297	5035
497	24345	4986
498	24394	4937
499	24442	4888
500	24489	4839
501	24535	4789
502	24583	4740
503	24633	4692
504	24680	4642
505	24730	4594
506	24778	4545
507	24827	4496
508	24874	4447
509	24923	4398
510	24973	4349
511	25021	4300
512	25067	4251
513	25113	4201
514	25161	4152
515	25208	4103
516	25256	4054
517	25303	4005
518	25351	3956
519	25399	3907
520	25447	3858
521	25493	3809
522	25540	3760
523	25589	3711
524	25641	3663
525	25687	3613
526	25738	3565
527	25788	3516
528	25835	3467
529	25882	3418
530	25929	3369
531	25977	3320
532	26023	3271
533	26068	3221
534	26116	3173
535	26162	3123
536	26210	3074
537	26258	3026
538	26305	2977
539	26353	2928
540	26400	2879
541	26446	2830
542	26493	2781
543	26540	2732
544	26587	2683
545	26634	2634
546	26681	2585
547	26735	2536
548	26781	2487
549	26829	2439
550	26876	2390
551	26926	2341
552	26972	2292
